MASE,RMSSE,WAPE,runout_MAE_days,runout_n,runout_missed,model,fold,seed,cutoff
0.912076144533966,2.0560159893782615,0.7405480227475439,11.684782608695652,184,41,TSB_0.15_0.2,3,42,2025-05-15
0.9248367293301792,2.0978285437059268,0.746137506553598,12.956521739130435,184,55,TSB_0.15_0.3,3,42,2025-05-15
0.9405282099236888,2.1512729692264227,0.7538345796746826,14.059782608695652,184,64,TSB_0.15_0.4,3,42,2025-05-15
0.957261373010097,2.2161131334685726,0.7628033716359703,15.331521739130435,184,74,TSB_0.15_0.5,3,42,2025-05-15
0.9202910610346349,2.0144570336862784,0.7476807242062379,8.603260869565217,184,14,TSB_0.2_0.05,3,42,2025-05-15
0.9110303723012073,2.028493035163941,0.7443392224564916,10.005434782608695,184,21,TSB_0.2_0.1,3,42,2025-05-15
0.9095926606475253,2.0425731595863637,0.7432665897734206,11.03804347826087,184,35,TSB_0.2_0.15,3,42,2025-05-15
0.9122560990149366,2.0594249337147854,0.7436636957981423,11.923913043478262,184,41,TSB_0.2_0.2,3,42,2025-05-15
0.9243562685572878,2.1025053142958727,0.7486043627822491,13.184782608695652,184,56,TSB_0.2_0.3,3,42,2025-05-15
0.9398397027927163,2.158067596703923,0.7559665413857255,14.244565217391305,184,64,TSB_0.2_0.4,3,42,2025-05-15
0.9565348485795504,2.2258274496845942,0.7648855545284945,15.456521739130435,184,73,TSB_0.2_0.5,3,42,2025-05-15
0.9249916125284615,2.0204334948779703,0.7579972411855008,9.445652173913043,184,15,TSB_0.3_0.05,3,42,2025-05-15
0.9148862527756758,2.034918002411122,0.7540222719428067,10.701086956521738,184,22,TSB_0.3_0.1,3,42,2025-05-15
0.912705175029491,2.049887747002603,0.752247877480493,11.66304347826087,184,36,TSB_0.3_0.15,3,42,2025-05-15
0.9148942179799358,2.0679701651036067,0.7521412577737124,12.548913043478262,184,43,TSB_0.3_0.2,3,42,2025-05-15
0.925548916164694,2.114837354937189,0.7552225027623903,13.641304347826088,184,57,TSB_0.3_0.3,3,42,2025-05-15
0.9405858380204063,2.1762723334170837,0.7615334231281453,14.619565217391305,184,65,TSB_0.3_0.4,3,42,2025-05-15
0.9572413408407878,2.251789536391784,0.7700481430781048,15.73913043478261,184,73,TSB_0.3_0.5,3,42,2025-05-15
0.9306097464927112,2.0267502045693564,0.7695049020488356,10.33695652173913,184,17,TSB_0.4_0.05,3,42,2025-05-15
0.9197532050361674,2.041792561217221,0.7646578889987918,11.46195652173913,184,25,TSB_0.4_0.1,3,42,2025-05-15
0.916888103169807,2.057835543524251,0.7622324419740096,12.38586956521739,184,36,TSB_0.4_0.15,3,42,2025-05-15
0.9188810969350169,2.0774189209811262,0.7617705736889037,13.217391304347826,184,43,TSB_0.4_0.2,3,42,2025-05-15
0.9292651982248921,2.12881232539633,0.7643013228553155,14.25,184,56,TSB_0.4_0.3,3,42,2025-05-15
0.9443580102183046,2.1969818697558443,0.7702918597508761,15.108695652173912,184,65,TSB_0.4_0.4,3,42,2025-05-15
0.9609349134557921,2.2811366831736675,0.7780050201064214,16.141304347826086,184,73,TSB_0.4_0.5,3,42,2025-05-15
0.9362517610554372,2.0331412621691713,0.7812888584450697,11.190217391304348,184,21,TSB_0.5_0.05,3,42,2025-05-15
0.9248563756010778,2.048738041689772,0.7757577564809333,12.11413043478261,184,29,TSB_0.5_0.1,3,42,2025-05-15
0.9216836326206297,2.065862377758688,0.7729477656776735,13.032608695652174,184,40,TSB_0.5_0.15,3,42,2025-05-15
0.9236430684886957,2.0869645214857995,0.7724699416141146,13.86413043478261,184,47,TSB_0.5_0.2,3,42,2025-05-15
0.9344323667980183,2.142893545989901,0.775288021018057,14.777173913043478,184,60,TSB_0.5_0.3,3,42,2025-05-15
0.9496076686451373,2.217674013293915,0.7810089756255244,15.646739130434783,184,67,TSB_0.5_0.4,3,42,2025-05-15
0.9663615344072933,2.310159586668721,0.788202110678459,16.652173913043477,184,75,TSB_0.5_0.5,3,42,2025-05-15
0.9662909526248237,1.9895509657815513,0.7457737241744445,6.760869565217392,184,4,CrostonSBA,3,42,2025-05-15
1.0047662315550228,2.475312537825906,0.8956463941508807,12.673913043478262,184,50,SeasonalNaive,3,42,2025-05-15
1.056362116200701,3.5626840905905057,0.7462887637341344,8.214659685863875,191,19,TSB_0.05_0.05,1,43,2025-04-17
1.0616890040040807,3.5816407650945177,0.7473839933063932,8.890052356020943,191,26,TSB_0.05_0.1,1,43,2025-04-17
1.059729677402487,3.595265137531089,0.7474297246617395,9.591623036649215,191,30,TSB_0.05_0.15,1,43,2025-04-17
1.05404723932377,3.6023705176457375,0.7474217756505659,10.418848167539267,191,38,TSB_0.05_0.2,1,43,2025-04-17
1.0383815930807727,3.606594444600994,0.7483726746068364,11.780104712041885,191,49,TSB_0.05_0.3,1,43,2025-04-17
1.0227972658564313,3.6080283136451587,0.7503584467009999,12.811518324607329,191,60,TSB_0.05_0.4,1,43,2025-04-17
1.0120834938429737,3.6111191633437576,0.7538586009184985,13.55497382198953,191,70,TSB_0.05_0.5,1,43,2025-04-17
1.0545413676150353,3.562973605043793,0.748310020822548,8.141361256544503,191,18,TSB_0.1_0.05,1,43,2025-04-17
1.059514266968803,3.581859902931735,0.7495209787713746,8.87434554973822,191,24,TSB_0.1_0.1,1,43,2025-04-17
1.0577400383660087,3.5955086958674096,0.7494873249356069,9.732984293193716,191,29,TSB_0.1_0.15,1,43,2025-04-17
1.0523104151099167,3.6027482873201158,0.7494601395601193,10.570680628272251,191,37,TSB_0.1_0.2,1,43,2025-04-17
1.0376319287508522,3.607480523239596,0.7504800336177185,11.916230366492147,191,50,TSB_0.1_0.3,1,43,2025-04-17
1.023709590174795,3.609633817756157,0.7532488608528738,12.979057591623036,191,59,TSB_0.1_0.4,1,43,2025-04-17
1.0146389061894576,3.6135424683543254,0.7576151513838995,13.785340314136125,191,70,TSB_0.1_0.5,1,43,2025-04-17
1.0554155055936305,3.5645785980294686,0.7525204501262396,8.387434554973822,191,17,TSB_0.15_0.05,1,43,2025-04-17
1.0597856271634094,3.583385047626052,0.7534101181381069,9.06282722513089,191,24,TSB_0.15_0.1,1,43,2025-04-17
1.0577360443693629,3.596959861306686,0.753140232222035,9.958115183246074,191,30,TSB_0.15_0.15,1,43,2025-04-17
1.0521478969704865,3.6041826203035026,0.7529048894012965,10.801047120418849,191,37,TSB_0.15_0.2,1,43,2025-04-17
1.0376405877162616,3.608995351972997,0.7536608607401438,12.089005235602095,191,52,TSB_0.15_0.3,1,43,2025-04-17
1.0241235766562407,3.611302589457278,0.7564735745800996,13.167539267015707,191,59,TSB_0.15_0.4,1,43,2025-04-17
1.015619545845781,3.6153990475308104,0.7611174935815133,13.963350785340314,191,71,TSB_0.15_0.5,1,43,2025-04-17
1.0572697668161077,3.566289766856218,0.7578725172878942,8.602094240837696,191,17,TSB_0.2_0.05,1,43,2025-04-17
1.0610341509578856,3.5850251634769523,0.7584945771287637,9.3717277486911,191,25,TSB_0.2_0.1,1,43,2025-04-17
1.0586442549445878,3.598507720250827,0.757908529867486,10.18324607329843,191,32,TSB_0.2_0.15,1,43,2025-04-17
1.0529186130145385,3.6056752696513423,0.7574554829847852,11.078534031413612,191,39,TSB_0.2_0.2,1,43,2025-04-17
1.0382691217382274,3.6104471785544887,0.757883048651181,12.261780104712042,191,52,TSB_0.2_0.3,1,43,2025-04-17
1.0247793204782967,3.612741795820366,0.7603336155789574,13.335078534031414,191,62,TSB_0.2_0.4,1,43,2025-04-17
1.0162659202473694,3.6168293974529275,0.7647919856226059,14.136125654450261,191,71,TSB_0.2_0.5,1,43,2025-04-17
1.0611067550187527,3.569697785917338,0.7674880318634826,9.24607329842932,191,17,TSB_0.3_0.05,1,43,2025-04-17
1.0638480256619196,3.5883223068186596,0.7677210533339983,9.979057591623036,191,27,TSB_0.3_0.1,1,43,2025-04-17
1.0610772725067854,3.6016272693791764,0.76717938849777,10.717277486910994,191,32,TSB_0.3_0.15,1,43,2025-04-17
1.0554495470296354,3.6086816258878485,0.7668306208029949,11.450261780104713,191,41,TSB_0.3_0.2,1,43,2025-04-17
1.0407148924743101,3.613350385382888,0.7669665965511892,12.659685863874346,191,53,TSB_0.3_0.3,1,43,2025-04-17
1.0270148944674602,3.615579157786683,0.7689663493505524,13.659685863874346,191,63,TSB_0.3_0.4,1,43,2025-04-17
1.018462809266851,3.6195930221440964,0.7731744095427184,14.429319371727749,191,72,TSB_0.3_0.5,1,43,2025-04-17
1.0654919533381555,3.573256270730371,0.7770044804790384,9.921465968586388,191,19,TSB_0.4_0.05,1,43,2025-04-17
1.0681297174136657,3.5917682502863655,0.7776855081750377,10.539267015706807,191,29,TSB_0.4_0.1,1,43,2025-04-17
1.0648021171357844,3.604886088011394,0.7767279961287019,11.277486910994764,191,34,TSB_0.4_0.15,1,43,2025-04-17
1.0589850104138336,3.611831837274704,0.7761539485431699,11.93717277486911,191,41,TSB_0.4_0.2,1,43,2025-04-17
1.0439574988097238,3.6164477662232803,0.7759044713135858,13.094240837696335,191,54,TSB_0.4_0.3,1,43,2025-04-17
1.0299559073270523,3.6186891865632043,0.777364376537714,14.083769633507853,191,62,TSB_0.4_0.4,1,43,2025-04-17
1.0213321642891244,3.622720415821048,0.7813382191327669,14.785340314136125,191,72,TSB_0.4_0.5,1,43,2025-04-17
1.0708135902867457,3.577018374059955,0.7873182627779676,10.586387434554974,191,20,TSB_0.5_0.05,1,43,2025-04-17
1.0732810944100315,3.595371578387317,0.788279982827269,11.13089005235602,191,30,TSB_0.5_0.1,1,43,2025-04-17
1.0697931686907123,3.608255446421037,0.7873090853662128,11.821989528795811,191,35,TSB_0.5_0.15,1,43,2025-04-17
1.0637280803850948,3.6150700052446316,0.7864825439871727,12.460732984293193,191,43,TSB_0.5_0.2,1,43,2025-04-17
1.0485660035630455,3.619653642361812,0.7858615512362322,13.518324607329843,191,52,TSB_0.5_0.3,1,43,2025-04-17
1.034163738959477,3.6219704104781765,0.7866607671820663,14.424083769633508,191,62,TSB_0.5_0.4,1,43,2025-04-17
1.0254808633218193,3.626094611301231,0.7905289502960923,15.157068062827225,191,72,TSB_0.5_0.5,1,43,2025-04-17
1.1197275545273129,3.548956388580678,0.7502879707553606,7.450261780104712,191,6,CrostonSBA,1,43,2025-04-17
1.2076656072605625,4.122184132057408,0.9265734265734266,12.717277486910994,191,50,SeasonalNaive,1,43,2025-04-17
